available_liquidity,sp_score,market_cap,total_debt,ltm_capex,ltm_ebitda,ltm_fcf,ltm_revenue
1455.976992,2,19508.37555,3211.526,-604.847,2442.694016,1106.703,22330.791
1455.806976,2,15619.82771,3057.936,-35.434,1336.014992,935.687,3460.538
1453,3,7779.539456,2774,-794,1502,772,14863
1447,2,12453.62995,6590,-649,1980,737,9075
1444.725359,4,13126.06925,3621.187,-183.147,1112.246976,571.495,7292.447
1440.571,2,18246.92838,5838.607,-1725.786,1039.800976,-773.819,2188.583
1439,1,37858.74227,22967.8,-809.6,2700.4,1918.9,13259.6
1439,2,12429.60384,2997,-180,1205,497,7414
1420.233024,3,14243.69664,2341.565,-65.55,995.843024,682.11,3903.371
1396.999936,5,14691.59424,6505.5,-148.8,1378.6,365.2,4778.3
1391.785,3,10203.66746,3401.478,-527.516,607.393008,17.388,968.887
1391,2,8543.189504,1956,-297,1002.8,509,5796.2
1378.999936,4,28951.15469,4416,-389,2614,886,14661
1363.587008,1,4768.028672,604.086,-104.616,332.042,209.784,1994.072
1349.1,1,38734.05338,9238.1,-955.1,2720.200064,776.6,7395.2
1324.4,2,7879.763968,825.4,-51.1,830.4,575.3,19823.6
1322.728,2,9539.672064,200,-132.703,715.436992,446.212,3791.525
1322.31,1,8810.843136,3091.461,-468.95,889.372992,404.748,1937.322
1319.299968,1,24530.14323,822.3,-164.3,936.2,561.3,3149.9
1302,1,14041.84269,4517,-149,1443,757,6847
1298,1,10862.9248,2386,-78,1202,1816,2213
1293,1,7713.160192,1100,-62,557,296,2945
1288.328992,2,7643.31008,1046.426,-30.775,389.16,341.535,2201.606
1269.5,2,15682.5897,5849.5,-279.7,1851.9,996.5,9720.8
1269.5,3,8843.046912,1022.5,-156.3,660,282.4,3771.3
1264.74,1,11165.17069,3364.003,-53.432,999.018992,778.81,4615.424
1257.055,3,16474.77453,4087.192,-676.038,1172.213024,343.762,2327.668
1250.067008,3,10560.8151,1325.371,-130.562,637.149984,394.93,3161.331
1235.031008,5,22442.61274,2980.169,-269.166,1365.080992,691.656,7491.047
1230.45696,2,17465.57952,745.633,-77.37,430.884,731.922,2520.701
1230,1,13403.4688,3325,-223,1219,847,10827
1227.539,3,16764.94643,1887.019,-483.002,1905.83296,859.71,8653.205
1226.705,4,25863.82336,7030.88,-1485.719,1301.811008,-326.555,2059.084
1203.801984,1,5920.836096,2814.426,-362.259,461.921,-28.758,918.342
1186.8,1,9470.995456,619.9,-26.8,388.3,370,2393.1
1182.319257,6,10039.35539,2247.052,-309.679,1352.705024,739.086,10223.396
1168.300032,4,5799.466496,588.2,-284,212.3,668.3,6652.4
1159.8,1,6055.968768,3268,-783.9,733.6,-136.2,4693.4
1139.5,3,13115.79238,1120.2,-44.1,849.8,564.9,3521.3
1134,2,6310.651392,596.4,-121.3,570.3,332.8,3738.7
1131,5,6370.50112,993.7,-65.5,573.8,337.3,3522.7
1130,4,12165.76614,1447.2,-165.7,767.5,456.9,4476
1125.783008,2,6030.64576,1570.623,-85.349,366.810992,154.168,3907.84
1122.591008,2,9064.264704,3678.654,-626.44,1076.697024,235.871,6042.885
1117,3,14918.08666,3734,-288,1548,834,7551
1099.883,1,5661.866496,5838.889,-195.348,820.786992,365.995,1278.474
1096.087,1,7535.110144,1043.255,-235.7,952.875984,224.954,9478.739
1092.899968,2,82572.91059,32768.7,-279.7,4214.4,650.4,14744.2
1084.344,3,16630.63142,5599.169,-614.722,878,120.464,1315.203
1078.391008,2,7138.32448,2320.123,-856.503,429.173,-493.278,676.434
1046,2,11737.58259,3603,-147,1045,568,3770
1041.745984,3,6009.182208,491.847,-251.991,380.472,155.448,1472.067
1040.906008,2,8621.09184,1892.776,-61.039,509.83,286.606,3075.191
1023.2,3,16802.00294,2672.2,-183.6,1142.5,625.6,3248.7
1018.6,3,7041.394688,959.8,-130.6,628.2,368.4,3771.8
1008.4,4,9230.0032,4564.3,-1249.1,950.1,-284.1,3330.1
